"","n","nmiss","outlier_flag","mean","stdev","min","p1.1%","p5.5%","p10.10%","q1.25%","q2.50%","q3.75%","p90.90%","p95.95%","p99.99%","max","UC","LC"
"BALANCE",8950,0,1,1564.4748276781,2081.53187945655,0,0.06510059,8.81451835,23.5755288,128.2819155,873.385231,2054.1400355,4338.5636566,5909.11180785,9338.804814,19043.13856,5727.53858659121,-2598.58893123501
"BALANCE_FREQUENCY",8950,0,1,0.877270725586592,0.236904002684769,0,0.090909,0.272727,0.454545,0.888889,1,1,1,1,1,1,1.35107873095613,0.403462720217055
"PURCHASES",8950,0,1,1003.20483351955,2136.63478187289,0,0,0,0,39.635,361.28,1110.13,2542.624,3998.6195,8977.29000000001,49039.57,5276.47439726533,-3270.06473022622
"Monthly_Avg_PURCHASES",6907,2043,1,184.899160945524,307.565954748216,0,9.61248384499354,18.27,25.2570606242425,46.8195833333333,100,207.153208115283,391.979309832536,608.639980152695,1306.75710648128,8972.48205503589,800.031070441956,-430.232748550907
"ONEOFF_PURCHASES",8950,0,1,592.437370949721,1659.88791743781,0,0,0,0,0,38,577.405,1600.099,2671.09399999999,6689.89820000001,40761.25,3912.21320582534,-2727.3384639259
"INSTALLMENTS_PURCHASES",8950,0,1,411.067644692737,904.338115175382,0,0,0,0,0,89,468.6375,1140.07,1750.0875,3886.2405,22500,2219.7438750435,-1397.60858565803
"CASH_ADVANCE",8950,0,1,978.871112465475,2097.16387664323,0,0,0,0,0,0,1113.82113925,3065.53456,4647.16912199999,9588.1633568,47137.21176,5173.19886575194,-3215.45664082099
"Monthly_CASH_ADVANCE",4322,4628,1,717.723562941221,920.407320107303,14.2222302222302,19.3344020997601,44.7404870965186,75.9613494841195,188.266589566358,449.864457816031,928.761455261455,1585.94591227929,2239.87498329995,4338.68307410229,14836.510756043,2558.53820315583,-1123.09107727338
"PURCHASES_FREQUENCY",8950,0,0,0.490350548379888,0.401370747369041,0,0,0,0,0.083333,0.5,0.916667,1,1,1,1,1.29309204311797,-0.312390946358194
"ONEOFF_PURCHASES_FREQUENCY",8950,0,1,0.202457683575419,0.29833606518472,0,0,0,0,0,0.083333,0.3,0.75,1,1,1,0.799129813944858,-0.39421444679402
"PURCHASES_INSTALLMENTS_FREQUENCY",8950,0,0,0.364437341564246,0.397447779745413,0,0,0,0,0,0.166667,0.75,1,1,1,1,1.15933290105507,-0.43045821792658
"CASH_ADVANCE_FREQUENCY",8950,0,1,0.135144200335196,0.200121388147497,0,0,0,0,0,0,0.222222,0.416667,0.583333,0.833333,1.5,0.535386976630189,-0.265098575959798
"CASH_ADVANCE_TRX",8950,0,1,3.24882681564246,6.82464674416583,0,0,0,0,0,0,4,10,15,29,123,16.8981203039741,-10.4004666726892
"PURCHASES_TRX",8950,0,1,14.7098324022346,24.8576491098847,0,0,0,0,1,7,17,37,57,116.51,358,64.4251306220041,-35.0054658175348
"CREDIT_LIMIT",8949,1,1,4494.44945036462,3638.8157254985,50,500,1000,1200,1600,3000,6500,9500,12000,17000,30000,11772.0809013616,-2783.18200063237
"LIMIT_USAGE",8949,1,1,0.388926408976491,0.389722338345051,0,2.84043142857144e-05,0.00294269491666667,0.007793031232,0.04152667,0.302869564166667,0.7175819152,0.919890647809524,0.9666938934,1.05706074103333,15.90995114,1.16837108566659,-0.390518267713611
"PAYMENTS",8950,0,1,1733.1438520248,2895.06375690457,0,0,89.98892395,179.617069,383.276166,856.901546,1901.13431675,3923.9066424,6082.09059525,13608.7155406,50721.48336,7523.27136583395,-4056.98366178434
"MINIMUM_PAYMENTS",8637,313,1,864.206542305083,2372.44660658398,0.019163,19.52447752,73.2820058,106.0348636,169.123707,312.343947,825.485459,1780.651744,2766.56331,9034.09873695978,76406.20752,5609.09975547303,-3880.68667086287
"MIN_PAYMENTS_RATIO",8637,313,1,9.35007012383254,120.286914607782,0.000730423045544126,0.0558254995935519,0.454552969804116,0.609522988793163,0.957549252830246,2.17049531897945,6.26043020466975,13.3349540879712,21.4382397665572,50.4058299366994,6840.5288605411,249.923899339397,-231.223759091732
"PRC_FULL_PAYMENT",8950,0,1,0.15371464849162,0.292499196233879,0,0,0,0,0,0,0.142857,0.670000300000012,1,1,1,0.738713040959377,-0.431283743976137
"TENURE",8950,0,1,11.5173184357542,1.33833076936733,6,6,8,10,12,12,12,12,12,12,12,14.1939799744888,8.84065689701953
